id,name,City,Country,ICAO,Lat,Long,Alt,Timezone,DST,Tz,type,Source
GKA,Goroka Airport,Goroka,Papua New Guinea,AYGA,-6.081689835,145.3919983,5282,10,U,Pacific/Port_Moresby,airport,OurAirports
MAG,Madang Airport,Madang,Papua New Guinea,AYMD,-5.207079887,145.7890015,20,10,U,Pacific/Port_Moresby,airport,OurAirports
HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,AYMH,-5.826789856,144.2960052,5388,10,U,Pacific/Port_Moresby,airport,OurAirports
LAE,Nadzab Airport,Nadzab,Papua New Guinea,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports
POM,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,AYPY,-9.443380356,147.2200012,146,10,U,Pacific/Port_Moresby,airport,OurAirports
WWK,Wewak International Airport,Wewak,Papua New Guinea,AYWK,-3.583830118,143.6690063,19,10,U,Pacific/Port_Moresby,airport,OurAirports
UAK,Narsarsuaq Airport,Narssarssuaq,Greenland,BGBW,61.16049957,-45.42599869,112,-3,E,America/Godthab,airport,OurAirports
GOH,Godthaab / Nuuk Airport,Godthaab,Greenland,BGGH,64.19090271,-51.67810059,283,-3,E,America/Godthab,airport,OurAirports
SFJ,Kangerlussuaq Airport,Sondrestrom,Greenland,BGSF,67.0122219,-50.71160316,165,-3,E,America/Godthab,airport,OurAirports
THU,Thule Air Base,Thule,Greenland,BGTL,76.53119659,-68.70320129,251,-4,E,America/Thule,airport,OurAirports
AEY,Akureyri Airport,Akureyri,Iceland,BIAR,65.66000366,-18.0727005,6,0,N,Atlantic/Reykjavik,airport,OurAirports
EGS,Egilsstaðir Airport,Egilsstadir,Iceland,BIEG,65.28330231,-14.40139961,76,0,N,Atlantic/Reykjavik,airport,OurAirports
HFN,Hornafjörður Airport,Hofn,Iceland,BIHN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport,OurAirports
HZK,Húsavík Airport,Husavik,Iceland,BIHU,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik,airport,OurAirports
IFJ,Ísafjörður Airport,Isafjordur,Iceland,BIIS,66.05809784,-23.13529968,8,0,N,Atlantic/Reykjavik,airport,OurAirports
KEF,Keflavik International Airport,Keflavik,Iceland,BIKF,63.98500061,-22.60560036,171,0,N,Atlantic/Reykjavik,airport,OurAirports
PFJ,Patreksfjörður Airport,Patreksfjordur,Iceland,BIPA,65.555801,-23.965,11,0,N,Atlantic/Reykjavik,airport,OurAirports
RKV,Reykjavik Airport,Reykjavik,Iceland,BIRK,64.12999725,-21.94059944,48,0,N,Atlantic/Reykjavik,airport,OurAirports
SIJ,Siglufjörður Airport,Siglufjordur,Iceland,BISI,66.133301,-18.9167,10,0,N,Atlantic/Reykjavik,airport,OurAirports
VEY,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,BIVM,63.42430115,-20.27890015,326,0,N,Atlantic/Reykjavik,airport,OurAirports
YAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,CYAM,46.48500061,-84.50939941,630,-5,A,America/Toronto,airport,OurAirports
YAV,Winnipeg / St. Andrews Airport,Winnipeg,Canada,CYAV,50.0564003,-97.03250122,760,-6,A,America/Winnipeg,airport,OurAirports
YAW,Halifax / CFB Shearwater Heliport,Halifax,Canada,CYAW,44.639702,-63.499401,144,-4,A,America/Halifax,airport,OurAirports
YAY,St. Anthony Airport,St. Anthony,Canada,CYAY,51.39189911,-56.08309937,108,-3.5,A,America/St_Johns,airport,OurAirports
YAZ,Tofino / Long Beach Airport,Tofino,Canada,CYAZ,49.079833,-125.775583,80,-8,A,America/Vancouver,airport,OurAirports
YBB,Kugaaruk Airport,Pelly Bay,Canada,CYBB,68.534401,-89.808098,56,-7,A,America/Edmonton,airport,OurAirports
YBC,Baie Comeau Airport,Baie Comeau,Canada,CYBC,49.13249969,-68.20439911,71,-5,A,America/Toronto,airport,OurAirports
YBG,CFB Bagotville,Bagotville,Canada,CYBG,48.33060074,-70.99639893,522,-5,A,America/Toronto,airport,OurAirports
YBK,Baker Lake Airport,Baker Lake,Canada,CYBK,64.29889679,-96.07779694,59,-6,A,America/Winnipeg,airport,OurAirports
YBL,Campbell River Airport,Campbell River,Canada,CYBL,49.95080185,-125.2710037,346,-8,A,America/Vancouver,airport,OurAirports
YBR,Brandon Municipal Airport,Brandon,Canada,CYBR,49.91,-99.951897,1343,-6,A,America/Winnipeg,airport,OurAirports
YCB,Cambridge Bay Airport,Cambridge Bay,Canada,CYCB,69.10810089,-105.1380005,90,-7,A,America/Edmonton,airport,OurAirports
YCD,Nanaimo Airport,Nanaimo,Canada,CYCD,49.05497022,-123.8698626,92,-8,A,America/Vancouver,airport,OurAirports
YCG,Castlegar/West Kootenay Regional Airport,Castlegar,Canada,CYCG,49.29639816,-117.6320038,1624,-8,A,America/Vancouver,airport,OurAirports
YCH,Miramichi Airport,Chatham,Canada,CYCH,47.007801,-65.449203,108,-4,A,America/Halifax,airport,OurAirports
YCL,Charlo Airport,Charlo,Canada,CYCL,47.990799,-66.330299,132,-4,A,America/Halifax,airport,OurAirports
YCO,Kugluktuk Airport,Coppermine,Canada,CYCO,67.816704,-115.143997,74,-7,A,America/Edmonton,airport,OurAirports
YCT,Coronation Airport,Coronation,Canada,CYCT,52.07500076,-111.4449997,2595,-7,A,America/Edmonton,airport,OurAirports
YCW,Chilliwack Airport,Chilliwack,Canada,CYCW,49.15280151,-121.939003,32,-8,A,America/Vancouver,airport,OurAirports
YCY,Clyde River Airport,Clyde River,Canada,CYCY,70.48609924,-68.51670074,87,-5,A,America/Toronto,airport,OurAirports
YZS,Coral Harbour Airport,Coral Harbour,Canada,CYZS,64.19329834,-83.35939789,210,-5,A,America/Coral_Harbour,airport,OurAirports
YDA,Dawson City Airport,Dawson,Canada,CYDA,64.04309845,-139.128006,1215,-8,A,America/Vancouver,airport,OurAirports
YDB,Burwash Airport,Burwash,Canada,CYDB,61.37110138,-139.0410004,2647,-8,A,America/Vancouver,airport,OurAirports
YDC,Princeton Airport,Princeton,Canada,CYDC,49.4681015,-120.5110016,2298,-8,A,America/Vancouver,airport,OurAirports
YDF,Deer Lake Airport,Deer Lake,Canada,CYDF,49.21080017,-57.39139938,72,-3.5,A,America/St_Johns,airport,OurAirports
