src,dst,relationship
AER,KZN,1506.825604
ASF,KZN,1040.43832
ASF,MRV,448.1649087
CEK,KZN,770.5085003
CEK,OVB,1338.631466
DME,KZN,715.6493504
DME,NBC,892.3827878
DME,TGK,915.2891398
DME,UUA,951.4321982
EGO,KGD,1171.881495
EGO,KZN,1008.25311
GYD,NBC,1685.426524
KGD,EGO,1171.881495
KZN,AER,1506.825604
KZN,ASF,1040.43832
KZN,CEK,770.5085003
KZN,DME,715.6493504
KZN,EGO,1008.25311
KZN,LED,1216.844568
KZN,SVX,723.5232035
LED,KZN,1216.844568
LED,NBC,1372.886415
LED,UUA,1464.056935
MRV,ASF,448.1649087
NBC,DME,892.3827878
NBC,GYD,1685.426524
NBC,LED,1372.886415
NBC,SVX,554.7033594
NJC,SVX,1012.602714
NJC,UUA,1557.171822
NUX,SVX,1324.611753
OVB,CEK,1338.631466
OVB,SVX,1370.297259
SVX,KZN,723.5232035
SVX,NBC,554.7033594
SVX,NJC,1012.602714
SVX,NUX,1324.611753
SVX,OVB,1370.297259
TGK,DME,915.2891398
UUA,DME,951.4321982
UUA,LED,1464.056935
UUA,NJC,1557.171822
BTK,IKT,488.339621
BTK,OVB,1199.359153
CEK,OVB,1338.631466
HTA,IKT,608.6430637
IKT,BTK,488.339621
IKT,HTA,608.6430637
IKT,KCK,655.18545
IKT,ODO,882.1865416
IKT,OVB,1458.824307
IKT,UKX,517.4862735
IKT,ULK,1134.537966
IKT,YKS,1860.015154
KCK,IKT,655.18545
MJZ,OVB,1967.487896
ODO,IKT,882.1865416
OVB,BTK,1199.359153
OVB,CEK,1338.631466
OVB,IKT,1458.824307
UKX,IKT,517.4862735
ULK,IKT,1134.537966
YKS,IKT,1860.015154
AYP,LIM,339.9806106
CUZ,LIM,585.9080247
CUZ,PEM,310.9345704
HUU,LIM,258.156103
IQT,PCL,529.5509844
IQT,TPP,454.8584415
LIM,AYP,339.9806106
LIM,CUZ,585.9080247
LIM,HUU,258.156103
LIM,PCL,491.3431739
LIM,TPP,618.4026367
PCL,IQT,529.5509844
PCL,LIM,491.3431739
PCL,TPP,287.2905685
PEM,CUZ,310.9345704
TPP,IQT,454.8584415
TPP,LIM,618.4026367
TPP,PCL,287.2905685
ABJ,BOY,657.4155139
ABJ,OUA,831.9292486
ACC,OUA,764.7435916
BKO,ABJ,921.3968497
BKO,DKR,1059.572896
BKO,OUA,699.2746614
BOY,ABJ,657.4155139
BOY,OUA,334.2794255
COO,LFW,126.6875995
COO,OUA,791.9115064
DKR,BKO,1059.572896
DKR,OUA,1747.037732
LFW,OUA,751.9942356
NIM,OUA,419.7565319
OUA,ABJ,831.9292486
OUA,ACC,764.7435916
OUA,BKO,699.2746614
OUA,BOY,334.2794255
OUA,COO,791.9115064
OUA,DKR,1747.037732
OUA,LFW,751.9942356
OUA,NIM,419.7565319
BOG,GYE,993.9367018
BOG,UIO,712.2258461
CLO,GYE,743.8381392
GYE,BOG,993.9367018
GYE,CLO,743.8381392
GYE,SCY,1090.79141
GYE,UIO,282.2165069
OCC,UIO,156.8648103
SCY,GYE,1090.79141
UIO,BOG,712.2258461
UIO,GYE,282.2165069
UIO,OCC,156.8648103
BDS,ZRH,1064.740843
BOD,ZRH,770.9701782
BRS,ZRH,922.7610697
GVA,LPA,2771.114626
LCA,ZRH,2505.174816
LPA,ZRH,3001.176398
RMF,ZRH,3337.441267
TFS,GVA,2832.34226
ZRH,BDS,1064.740843
ZRH,BOD,770.9701782
ZRH,BRS,922.7610697
ZRH,LCA,2505.174816
ZRH,LPA,3001.176398
ZRH,RMF,3337.441267
AJR,LYC,118.8590403
ARN,GEV,843.975814
ARN,HAD,444.4784378
ARN,JKG,306.2054197
ARN,KRF,377.7796226
ARN,KSD,259.1468308
ARN,LYC,546.0229775
ARN,MHQ,122.1856447
ARN,OER,421.5199422
ARN,POR,292.3265698
ARN,TRF,436.1582871
ARN,VBY,222.5551716
ARN,VHM,550.7566438
ARN,VXO,355.4905069
GEV,ARN,843.975814
GEV,KRF,475.8352585
HAD,ARN,444.4784378
HAD,JKG,140.3923601
HAD,VXO,119.1004697
HMV,VHM,159.004388
JKG,ARN,306.2054197
JKG,HAD,140.3923601
KOK,POR,260.4663545
KRF,ARN,377.7796226
KRF,GEV,475.8352585
KSD,ARN,259.1468308
LYC,AJR,118.8590403
LYC,ARN,546.0229775
MHQ,ARN,122.1856447
MHQ,TKU,137.2893516
OER,ARN,421.5199422
OSL,VXO,414.0599298
POR,ARN,292.3265698
POR,KOK,260.4663545
TKU,MHQ,137.2893516
TRF,ARN,436.1582871
VBY,ARN,222.5551716
VHM,ARN,550.7566438
VHM,HMV,159.004388
VXO,ARN,355.4905069
VXO,OSL,414.0599298
ADQ,AOS,10000
ADQ,KKB,10000
ADQ,KLN,91.48826934
ADQ,KOZ,10000
ADQ,OLH,10000
AOS,KZB,10000
KKB,SYB,10000
KLN,KYK,28.38402821
KOZ,ORI,10000
SYB,KPR,10000
BSO,MNL,668.5873317
BXU,MNL,785.6636044
CBO,MNL,887.6554025
CGY,MNL,754.9091165
CRM,MNL,450.1057312
DGT,MNL,626.5736902
DWC,MNL,6929.057653
GES,MNL,1039.923633
KLO,MNL,347.1762046
LGP,MNL,329.3862311
MNL,BSO,668.5873317
MNL,BXU,785.6636044
MNL,CBO,887.6554025
MNL,CGY,754.9091165
MNL,CRM,450.1057312
MNL,DGT,626.5736902
MNL,DWC,6929.057653
MNL,GES,1039.923633
MNL,KLO,347.1762046
MNL,LGP,329.3862311
MNL,MPH,304.6045541
MNL,OZC,768.1056555
MNL,PPS,584.1982729
MNL,RXS,374.1081206
MNL,SUG,717.1596455
MNL,TUG,356.7990484
MNL,ZAM,851.1508238
MPH,MNL,304.6045541
OZC,MNL,768.1056555
PPS,MNL,584.1982729
RXS,MNL,374.1081206
SUG,MNL,717.1596455
TUG,MNL,356.7990484
ZAM,MNL,851.1508238
AUX,PMW,340.9005574
BRA,BSB,525.6465789
BRA,SSA,731.7115489
BSB,BRA,525.6465789
BSB,OPS,938.3890739
BSB,RAO,585.8853682
CAC,GRU,733.4994602
CGB,GYN,744.5253178
CGB,OPS,422.8702528
CGR,DOU,194.5115194
DOU,CGR,194.5115194
DOU,GRU,877.0738736
GIG,RAO,502.4166165
GRU,CAC,733.4994602
GRU,DOU,877.0738736
GRU,RAO,288.6975105
GRU,UBA,436.3766551
GRU,UDI,537.7555229
GRU,VDC,1120.277271
GYN,CGB,744.5253178
GYN,PMW,711.1838833
GYN,RAO,523.3844821
GYN,UDI,271.6503045
OPS,BSB,938.3890739
OPS,CGB,422.8702528
PLU,RAO,423.342092
PMW,AUX,340.9005574
PMW,GYN,711.1838833
RAO,BSB,585.8853682
RAO,GIG,502.4166165
RAO,GRU,288.6975105
RAO,GYN,523.3844821
RAO,PLU,423.342092
RAO,SJP,172.9133459
RAO,UDI,254.8440315
SJP,RAO,172.9133459
SSA,BRA,731.7115489
SSA,VDC,349.8843453
UBA,GRU,436.3766551
UBA,UDI,101.6790529
UDI,GRU,537.7555229
UDI,GYN,271.6503045
UDI,RAO,254.8440315
UDI,UBA,101.6790529
VDC,GRU,1120.277271
VDC,SSA,349.8843453
BRL,ORD,299.7634211
BRL,STL,235.2589089
DEC,ORD,251.7022466
DEC,STL,177.0221314
JBR,STL,325.2751066
ORD,BRL,299.7634211
ORD,DEC,251.7022466
STL,BRL,235.2589089
STL,DEC,177.0221314
STL,JBR,325.2751066
CGA,HYL,10000
CGA,KTN,10000
HYL,CGA,10000
HYL,KTB,10000
HYL,KTN,10000
KTB,HYL,10000
KTB,KTN,10000
KTN,CGA,10000
KTN,HYL,10000
KTN,KTB,10000
KTN,MTM,26.42029781
MTM,KTN,26.42029781
ACC,DKR,2148.776216
ACC,LOS,400.511356
ACC,ROB,1129.786906
BCN,BJL,3599.883987
BJL,BCN,3599.883987
BJL,DKR,180.17842
BJL,FNA,646.4746864
CKY,OXB,340.8441364
DKR,ACC,2148.776216
DKR,BJL,180.17842
DKR,DLA,3209.821256
DKR,FNA,825.8702599
DKR,LOS,2446.227434
DKR,OXB,373.5629745
DLA,DKR,3209.821256
DLA,LOS,763.8894162
FNA,BJL,646.4746864
FNA,DKR,825.8702599
FNA,LGW,4877.379911
FNA,ROB,409.5954725
LGW,FNA,4877.379911
LOS,ACC,400.511356
LOS,DKR,2446.227434
LOS,DLA,763.8894162
LOS,ROB,1512.467767
OXB,CKY,340.8441364
OXB,DKR,373.5629745
ROB,ACC,1129.786906
ROB,FNA,409.5954725
ROB,LOS,1512.467767
AKV,YIK,178.158589
AKV,YPX,97.60920602
XGR,YVP,157.4368109
YGL,YGW,184.2475132
YGL,YPX,714.9073271
YGL,YUL,950.3942774
YGW,YGL,184.2475132
YGW,YPH,355.2159701
YGW,YSK,167.4022484
YGW,YUD,159.6485786
YGW,YUL,1127.193436
YGW,YUY,790.2106091
YIK,AKV,178.158589
YIK,YZG,119.6766658
YKG,YPJ,84.26943935
YKG,YQC,115.2330615
YKG,YVP,232.7655648
YKL,YQB,947.1713863
YKL,YVP,379.2177235
YKL,YWK,209.4603592
YKL,YZV,510.7982154
YPH,YPX,181.1906668
YPH,YUD,234.5100444
YPH,YVP,565.1572427
YPJ,YKG,84.26943935
YPJ,YTQ,72.84606447
YPJ,YVP,149.7056499
YPX,AKV,97.60920602
YPX,YGL,714.9073271
YPX,YPH,181.1906668
YPX,YVP,550.4466421
YQB,YKL,947.1713863
YQB,YUL,232.970252
YQC,YKG,115.2330615
YQC,YWB,137.3005784
YSK,YGW,167.4022484
YSK,YUD,167.2745097
YTQ,YPJ,72.84606447
YTQ,YVP,109.4703172
YUD,YGW,159.6485786
YUD,YPH,234.5100444
YUD,YSK,167.2745097
YUL,YGL,950.3942774
YUL,YGW,1127.193436
YUL,YQB,232.970252
YUL,YUY,492.4663322
YUY,YGW,790.2106091
YUY,YUL,492.4663322
YVP,XGR,157.4368109
YVP,YGW,649.6913189
YVP,YKG,232.7655648
YVP,YKL,379.2177235
YVP,YPH,565.1572427
YVP,YPJ,149.7056499
YVP,YPX,550.4466421
YVP,YTQ,109.4703172
YWB,YQC,137.3005784
YWB,YZG,206.5547833
YWK,YKL,209.4603592
YWK,YZV,302.9078535
YZG,YIK,119.6766658
YZG,YWB,206.5547833
YZV,YKL,510.7982154
YZV,YWK,302.9078535
JIB,DXB,1992.387514
JIB,JED,1204.444112
JIB,MGQ,1086.086008
MGQ,NBO,1002.380653
NBO,MGQ,1002.380653
BKK,SIN,1416.903566
DRW,SIN,3339.122636
HAK,SIN,2182.844837
HGH,SIN,3650.034764
HKG,SIN,2565.575778
HKT,SIN,980.221899
KIX,MNL,2634.794395
KIX,TPE,1702.933785
KUL,SIN,297.4722211
MNL,KIX,2634.794395
MNL,SIN,2374.851648
PEN,SIN,602.329345
PER,SIN,3910.768635
PNH,SIN,1137.661659
REP,SIN,1341.215454
RGN,SIN,1931.909474
SGN,SIN,1093.016646
SIN,BKK,1416.903566
SIN,DRW,3339.122636
SIN,HAK,2182.844837
SIN,HGH,3650.034764
SIN,HKG,2565.575778
SIN,HKT,980.221899
SIN,KUL,297.4722211
SIN,MNL,2374.851648
SIN,PEN,602.329345
SIN,PER,3910.768635
SIN,PNH,1137.661659
SIN,REP,1341.215454
SIN,RGN,1931.909474
SIN,SGN,1093.016646
SIN,SWA,2812.92548
SIN,TPE,3222.382884
SWA,SIN,2812.92548
TPE,KIX,1702.933785
TPE,SIN,3222.382884
ACH,EBA,528.047774
DRS,ZRH,556.0760977
DUS,FDH,448.4569214
EBA,ACH,528.047774
EBA,FDH,549.0393898
EBA,MUC,633.4820176
EBA,ZRH,539.6211971
FDH,DUS,448.4569214
FDH,EBA,549.0393898
FDH,HAM,663.4696987
